observed_on,time_observed_at,user_name,created_at,updated_at,image_url,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name
2019-08-04,2019-08-04 06:59:38 UTC,Vikram Singh,2019-08-04 07:53:31 UTC,2019-08-07 11:47:45 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/47099725/medium.jpeg,,0,0,"Himachal Pradesh 173211, India",30.928691864,77.0484237671,Solan,Himachal Pradesh,India,,Mycetozoa,slime molds,Protozoa
2019-08-04,2019-08-04 06:00:52 UTC,Vikram Singh,2019-08-04 09:12:05 UTC,2019-08-07 11:43:55 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/47102340/medium.jpeg,,0,0,"Himachal Pradesh 173211, India",30.9288635254,77.0501403809,Solan,Himachal Pradesh,India,,Ceratiomyxaceae,,Protozoa
2019-08-15,2019-08-15 13:05:46 UTC,Vikram Singh,2019-08-15 15:12:31 UTC,2019-11-21 03:59:44 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/48265849/medium.jpeg,,0,0,"Holta, Palampur, Himachal Pradesh, India",32.1061630249,76.5576705933,Kangra,Himachal Pradesh,India,,Mycetozoa,slime molds,Protozoa
2019-08-18,2019-08-18 09:20:36 UTC,Arijit Patra,2019-08-18 09:44:27 UTC,2024-01-27 20:30:19 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/48546019/medium.jpg,▪︎Over a rotten bamboo. ,2,0,"Nutanchati,Quarter no 4/10 Pwd Roads Office Campus, Jogeshpally, Bankura, West Bengal 722101, India",23.2394447327,87.0538864136,Bankura,West Bengal,India,Stemonitidales,Stemonitidales,,Protozoa
2015-11-10,,Abhisheka Krishnagopal,2019-09-06 14:35:56 UTC,2019-09-06 14:46:16 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/50506777/medium.jpg,"",0,0,"Kodiyakadu, Tamil Nadu, India",10.3321452946,79.8424530029,Nagapattinam,Tamil Nadu,India,Chocolate Tube Slimes,Stemonitis,Chocolate Tube Slimes,Protozoa
2019-09-18,2019-09-18 08:49:49 UTC,Suhel Quader,2019-09-19 09:48:07 UTC,2019-09-19 09:48:21 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/51795820/medium.jpeg,,0,0,"Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",13.0706682205,77.5757827759,Bangalore,Karnataka,India,Reticularia,Reticularia,,Protozoa
2019-08-31,2019-08-31 11:35:37 UTC,,2019-09-25 08:40:50 UTC,2019-09-25 08:41:22 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/52393211/medium.jpeg,Found on a dead log of wood,0,0,"Ambarim, Goa 403523, India",15.5630502701,73.8820724487,North Goa,Goa,India,Badhamia,Badhamia,,Protozoa
2020-01-26,2020-01-26 08:46:53 UTC,Vikram Singh,2020-01-27 05:33:24 UTC,2020-01-27 20:53:57 UTC,https://static.inaturalist.org/photos/60360541/medium.jpg,,0,0,"Bari Khas, Himachal Pradesh, India",32.1262931824,76.5867996216,Kangra,Himachal Pradesh,India,,Mycetozoa,slime molds,Protozoa
2020-04-18,2020-04-18 05:30:27 UTC,"",2020-05-02 18:27:12 UTC,2023-09-13 14:34:14 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/70741474/medium.jpeg,,3,1,"Popular Nagar, Warje",18.4841129804,73.7971863896,Pune,Maharashtra,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2020-05-16,2020-05-16 07:08:46 UTC,Jinu Muraleedharan,2020-05-26 06:26:45 UTC,2023-04-24 04:08:30 UTC,https://static.inaturalist.org/photos/75136418/medium.jpg,,1,0,"Rajmalai National Park, Ernakulam, Kerala, IN",10.19347,76.97730333,Idukki,Kerala,India,Ceratiomyxa fruticulosa fruticulosa,Ceratiomyxa fruticulosa fruticulosa,,Protozoa
,,kiko ralte,2020-06-05 19:57:57 UTC,2020-06-05 19:58:06 UTC,https://static.inaturalist.org/photos/77079554/medium.jpg,,0,0,,23.4141786592,92.9272630066,Serchhip,Mizoram,India,Pretzel slime mold,Hemitrichia serpula,Pretzel slime mold,Protozoa
2012-02-15,2012-02-15 17:57:00 UTC,"",2020-06-06 18:11:47 UTC,2024-05-07 13:16:44 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/77249281/medium.jpg,,0,0,"Kundannoor, Maradu, Ernakulam, Kerala, India",9.9520550006,76.3113842906,Ernakulam,Kerala,India,Stemonitis axifera,Stemonitis axifera,,Protozoa
2020-06-23,2020-06-23 03:44:00 UTC,Anjali Manoj,2020-06-25 14:31:38 UTC,2020-06-25 14:31:38 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/80820351/medium.jpg,"",0,0,"NMR Layout, MEG Layout, Udaya Nagar, Mahadevapura, Bengaluru, Karnataka 560016, India",12.9932017745,77.6738921293,Bangalore,Karnataka,India,Dog Vomit Slime Mold,Fuligo septica,Dog Vomit Slime Mold,Protozoa
2020-06-12,2020-06-12 09:37:07 UTC,"",2020-06-27 18:45:54 UTC,2021-07-19 07:33:40 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/81217026/medium.jpeg,,0,0,"Popular Nagar, Warje",18.4841129804,73.7971863896,Pune,Maharashtra,India,slime molds,Mycetozoa,slime molds,Protozoa
2020-07-09,2020-07-09 12:12:09 UTC,Gerin Prince,2020-07-09 12:52:21 UTC,2020-11-18 20:00:59 UTC,https://static.inaturalist.org/photos/83399954/medium.jpeg,,1,0,"Peramangalam, Kerala, India",10.5686936122,76.1692203954,Thrissur,Kerala,India,true slime molds,Myxomycetes,true slime molds,Protozoa
2020-07-13,2020-07-13 05:28:23 UTC,Aswathy Narayanan,2020-07-13 19:26:56 UTC,2020-07-13 19:27:07 UTC,https://static.inaturalist.org/photos/84234300/medium.jpeg,,0,0,"Sri Ramapura Cross, Bengaluru, Karnataka 560064, India",13.0690358333,77.6125322222,Bangalore,Karnataka,India,False Puffball,Reticularia lycoperdon,False Puffball,Protozoa
2010-07-18,2010-07-18 03:49:00 UTC,Yuwaraj Gurjar,2020-08-01 14:45:10 UTC,2020-08-01 15:13:20 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/87610525/medium.jpeg,,0,0,"Yeoor Hills, Thane West, Thane, Maharashtra, India",19.233765,72.9445802,Greater Bombay,Maharashtra,India,,Mycetozoa,slime molds,Protozoa
2010-10-24,2010-10-24 04:44:00 UTC,Yuwaraj Gurjar,2020-08-01 15:21:37 UTC,2023-12-25 02:16:17 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/87617780/medium.jpeg,,3,0,"Yeoor Hills, Thane West, Thane, Maharashtra, India",19.233765,72.9445802,Greater Bombay,Maharashtra,India,Coral Slimes,Ceratiomyxa,Coral Slimes,Protozoa
2010-09-12,2010-09-12 04:22:00 UTC,Yuwaraj Gurjar,2020-08-02 15:39:37 UTC,2020-11-02 13:29:45 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/87819801/medium.jpeg,,3,0,"Matheran, Maharashtra, India",18.9886587,73.271179,Raigarh,Maharashtra,India,Honeycomb Coral Slime Mold,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold,Protozoa
2019-10-01,2019-10-01 04:12:00 UTC,Yuwaraj Gurjar,2020-08-06 16:09:00 UTC,2024-08-05 13:12:13 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/88559055/medium.jpeg,,2,0,"Goa 403410, India",15.3339015,74.2883536,South Goa,Goa,India,Pretzel slime mold,Hemitrichia serpula,Pretzel slime mold,Protozoa
2020-07-18,2020-07-18 10:09:45 UTC,Priya AV,2020-08-08 18:13:08 UTC,2020-08-08 18:13:17 UTC,https://static.inaturalist.org/photos/88910517/medium.jpeg,,0,0,"Pullattuvadakkeveli, Cherthala, Kerala, India",9.6682301503,76.3218240067,Alappuzha,Kerala,India,Arcyria obvelata,Arcyria obvelata,Yellow Carnival Candy Slime,Protozoa
2020-07-27,2020-07-27 10:27:38 UTC,Bhargav R M,2020-08-13 17:36:58 UTC,2020-08-13 17:37:25 UTC,https://static.inaturalist.org/photos/89774248/medium.jpeg,I think some type of fungi growing on a wet piece of bamboo,0,0,"Karnataka 561204, India",13.3001202833,77.4172810838,Bangalore Rural,Karnataka,India,Trichiaceae,Trichiaceae,,Protozoa
2020-08-22,2020-08-22 08:26:34 UTC,Priya AV,2020-08-22 16:45:01 UTC,2020-08-22 16:54:23 UTC,https://static.inaturalist.org/photos/91274942/medium.jpeg,Fungus,0,0,"Pullattuvadakkeveli, Cherthala, Kerala, India",9.6682146162,76.3217874616,Alappuzha,Kerala,India,,Mycetozoa,slime molds,Protozoa
2020-08-22,2020-08-22 08:25:43 UTC,Priya AV,2020-08-23 10:47:41 UTC,2020-08-26 01:38:42 UTC,https://static.inaturalist.org/photos/91413126/medium.jpeg,Fungus,0,0,"Pullattuvadakkeveli, Cherthala, Kerala, India",9.6682192434,76.3218025491,Alappuzha,Kerala,India,,Mycetozoa,slime molds,Protozoa
2020-08-26,2020-08-26 11:42:40 UTC,Gerin Prince,2020-08-26 11:50:40 UTC,2020-08-26 11:51:11 UTC,https://static.inaturalist.org/photos/91942629/medium.jpeg,,0,0,"Peramangalam, Kerala, India",10.5687252527,76.1692428589,Thrissur,Kerala,India,chocolate tube slime,Stemonitis splendens,chocolate tube slime,Protozoa
2020-08-31,2020-08-31 12:13:33 UTC,ABHISHEK GOVEKAR,2020-08-31 17:14:51 UTC,2020-09-01 05:29:42 UTC,https://static.inaturalist.org/photos/92832433/medium.jpeg,,0,0,"Ghateshwar Nagar, Sonar Vaddo, Khorlim, Mapusa, Goa 403507, India",15.5943855223,73.8028411567,North Goa,Goa,India,,Mycetozoa,slime molds,Protozoa
2020-09-02,2020-09-02 04:08:18 UTC,Sambamo Tungter,2020-09-04 13:09:02 UTC,2020-09-04 13:15:53 UTC,https://static.inaturalist.org/photos/93403602/medium.jpeg,,0,0,"Sikkim 737139, India",27.3550095623,88.4744470194,South Sikkim,Sikkim,India,algae,Stemonitidaceae,,Protozoa
2020-09-12,2020-09-12 02:38:05 UTC,Sriram Ranganathan,2020-09-12 03:46:07 UTC,2023-07-07 23:07:00 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/94720441/medium.jpeg,,0,0,Sobha Sunscape,12.864314363,77.5212750211,Bangalore,Karnataka,India,Reticularia,Reticularia,,Protozoa
2020-09-13,2020-09-13 02:46:23 UTC,Roshen Ŕ S,2020-09-13 13:20:17 UTC,2023-03-22 21:22:22 UTC,https://static.inaturalist.org/photos/94992697/medium.jpeg,,3,0,"Keerthi Nagar, Kodangavila, Thoppuvila, Vazhuthoor, Neyyattinkara, Kerala 695126, India",8.413886479,77.0821280032,Thiruvananthapuram,Kerala,India,Physaraceae,Physaraceae,,Protozoa
2020-09-14,2020-09-14 12:02:39 UTC,Khushman Kaur,2020-09-14 12:13:17 UTC,2020-09-18 12:31:22 UTC,https://static.inaturalist.org/photos/95184637/medium.jpeg,,0,0,"Bereya, Uttarakhand, India",28.9722690556,79.7517318611,Udham Singh Nagar,Uttaranchal,India,,Lycogala epidendrum,Wolf's Milk,Protozoa
2020-09-15,2020-09-15 09:38:45 UTC,Roshen Ŕ S,2020-09-15 09:52:55 UTC,2020-09-15 09:54:03 UTC,https://static.inaturalist.org/photos/95349611/medium.jpeg,,0,0,"Keerthi Nagar, Kodangavila, Thoppuvila, Vazhuthoor, Neyyattinkara, Kerala 695126, India",8.4138911224,77.0821162686,Thiruvananthapuram,Kerala,India,Physarum,Physarum,,Protozoa
2019-09-01,2019-09-01 07:28:00 UTC,Yuwaraj Gurjar,2020-09-21 09:20:54 UTC,2020-09-21 09:20:54 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/96409826/medium.jpeg,,0,0,"Abhapur, Gujarat 383460, India",23.9991113,73.2791687,Sabar Kantha,Gujarat,India,Chocolate Tube Slimes,Stemonitis,Chocolate Tube Slimes,Protozoa
2011-10-24,2011-10-24 06:22:00 UTC,Radha,2020-09-21 14:17:15 UTC,2023-07-15 12:30:53 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/96435775/medium.jpg,,1,0,"Suralihalla, Agumbe, Karnataka 577411, India",13.518667,75.0905067,Shimoga,Karnataka,India,carnival candy slime mold,Arcyria denudata,carnival candy slime mold,Protozoa
2020-07-31,2020-07-31 04:03:27 UTC,Darshak Bhil,2020-09-27 04:53:44 UTC,2021-03-12 11:25:25 UTC,https://static.inaturalist.org/photos/97450014/medium.jpeg,,1,0,Mota Khutavada,21.1927109356,71.6517611593,Bhavnagar,Gujarat,India,Honeycomb Coral Slime Mold,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold,Protozoa
2020-08-20,2020-08-20 06:24:24 UTC,Darshak Bhil,2020-09-27 04:55:05 UTC,2020-09-27 04:55:17 UTC,https://static.inaturalist.org/photos/97450150/medium.jpeg,,0,0,"13' Trilok Bungalows, Govt. Society, opp. Street To M J Collage, Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7591266632,72.1387939453,Bhavnagar,Gujarat,India,Lamproderma,Lamproderma,,Protozoa
2020-07-24,2020-07-24 03:30:29 UTC,Darshak Bhil,2020-09-28 02:30:20 UTC,2020-09-28 02:30:46 UTC,https://static.inaturalist.org/photos/97673665/medium.jpeg,,0,0,"Mota Khutavada, Gujarat, India",21.1898422241,71.6507034302,Bhavnagar,Gujarat,India,chocolate tube slime,Stemonitis splendens,chocolate tube slime,Protozoa
2020-07-24,2020-07-24 04:10:34 UTC,Darshak Bhil,2020-09-28 02:31:10 UTC,2020-10-02 14:32:10 UTC,https://static.inaturalist.org/photos/97673782/medium.jpeg,,1,0,"Mota Khutavada, Gujarat, India",21.1898975372,71.6507110596,Bhavnagar,Gujarat,India,Stemonitis axifera,Stemonitis axifera,,Protozoa
2020-09-28,2020-09-28 08:25:00 UTC,"",2020-09-28 11:12:21 UTC,2020-09-28 11:12:21 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/97719391/medium.jpg,"",0,0,"Shivtarai, Chhattisgarh 495116, India",22.3908347,81.8838334,Mungeli,Chhattisgarh,India,False Puffball,Reticularia lycoperdon,False Puffball,Protozoa
2020-09-30,2020-09-30 11:03:15 UTC,OnePlanet,2020-09-30 12:57:43 UTC,2020-09-30 12:57:57 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/98069175/medium.jpeg,,0,0,"Kerala 671314, India",12.2841205555,75.1603299379,Kasaragod,Kerala,India,Chocolate Tube Slimes,Stemonitis,Chocolate Tube Slimes,Protozoa
2020-10-01,2020-10-01 09:33:18 UTC,Priya AV,2020-10-01 11:16:27 UTC,2020-10-01 11:16:38 UTC,https://static.inaturalist.org/photos/98217853/medium.jpeg,,0,0,"Pullattuvadakkeveli, Cherthala, Kerala, India",9.668234447,76.3217945024,Alappuzha,Kerala,India,Red Raspberry Slime Mold,Tubifera ferruginosa,Red Raspberry Slime Mold,Protozoa
2020-10-04,,Nayana P,2020-10-04 17:22:51 UTC,2021-12-11 00:14:59 UTC,https://static.inaturalist.org/photos/98738574/medium.jpeg,,3,1,Muthiyalam Masjid,12.1237078367,75.2404854074,Kannur,Kerala,India,slime molds,Mycetozoa,slime molds,Protozoa
2020-10-05,2020-10-05 08:38:29 UTC,Dr Adil A,2020-10-06 18:07:22 UTC,2023-01-22 20:11:51 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/99073080/medium.jpeg,,0,0,"Kerala University of Health Sciences, KUHS, Mulankunathukavu, Thangaloor, Kerala 680596, India",10.6100015556,76.1973266389,Thrissur,Kerala,India,Mucilago,Didymium,,Protozoa
2020-08-10,2020-08-10 03:49:12 UTC,Darshak Bhil,2020-10-08 11:05:00 UTC,2020-10-08 11:05:43 UTC,https://static.inaturalist.org/photos/99314997/medium.jpeg,,0,0,"Mota Khutavada, Gujarat, India",21.1900405884,71.651008606,Bhavnagar,Gujarat,India,Enerthenema papillatum,Enerthenema papillatum,,Protozoa
2020-09-24,2020-09-24 05:07:29 UTC,Darshak Bhil,2020-10-08 12:58:08 UTC,2020-10-08 12:59:12 UTC,https://static.inaturalist.org/photos/99322564/medium.jpeg,,0,0,Mota Khutavada,21.1927109356,71.6517611593,Bhavnagar,Gujarat,India,Chocolate Tube Slimes,Stemonitis,Chocolate Tube Slimes,Protozoa
2020-07-17,2020-07-17 09:47:28 UTC,Darshak Bhil,2020-10-14 02:29:16 UTC,2020-10-14 02:30:10 UTC,https://static.inaturalist.org/photos/100206417/medium.jpeg,,0,0,"Gujarat 364280, India",21.1885929108,71.6223754883,Bhavnagar,Gujarat,India,Tubifera,Tubifera,,Protozoa
2020-10-03,2020-10-03 06:22:08 UTC,,2020-10-16 13:03:06 UTC,2020-10-16 13:03:40 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/100513093/medium.jpg,"",0,0,"Rajmalai National Park, Idukki, KL, IN",10.28858667,77.18678333,Idukki,Kerala,India,"",Stemonitis,Chocolate Tube Slimes,Protozoa
2020-10-25,2020-10-25 02:13:26 UTC,,2020-10-25 02:44:09 UTC,2020-10-25 02:44:18 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/101829145/medium.jpg,,0,0,"Haobam Marak Chingtham Leikai, Imphal, Manipur, India",24.775053077,93.924879469,West Imphal,Manipur,India,Physarum,Physarum,,Protozoa
2020-11-06,2020-11-06 07:13:45 UTC,Darshak Bhil,2020-11-08 04:29:52 UTC,2020-12-07 19:59:45 UTC,https://static.inaturalist.org/photos/103558083/medium.jpeg,,1,0,Maharaja Krishnakumarsinhji Bhavnagar University,21.752474978,72.1295896545,Bhavnagar,Gujarat,India,chocolate tube slime,Stemonitis splendens,chocolate tube slime,Protozoa
2019-12-15,2019-12-15 03:20:00 UTC,Debashis Chowdhury,2020-11-16 17:32:50 UTC,2022-08-08 17:58:48 UTC,https://static.inaturalist.org/photos/104621859/medium.jpg,,1,0,"Chintamani Kar Bird Sanctuary, Hogulkuria Rajpur Road, Ramchandrapur, Narendrapur, Kolkata, West Bengal 700103, India",22.4293171,88.4006846,South 24 Parganas,West Bengal,India,slime molds,Mycetozoa,slime molds,Protozoa
2020-11-09,2020-11-09 05:19:29 UTC,Harikrishnan S,2020-11-18 15:05:39 UTC,2020-11-18 15:06:12 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/104823906/medium.jpeg,,0,0,"Kannammoola, Thiruvananthapuram, Kerala, India",8.5034259899,76.9317298383,Thiruvananthapuram,Kerala,India,Cribraria,Cribraria,,Protozoa
2020-11-21,2020-11-21 01:30:50 UTC,,2020-11-26 09:09:38 UTC,2020-11-27 03:59:55 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/105666531/medium.jpg,"",1,0,"Cherthala, Alappuzha, KL, IN",9.72177,76.3007583333,Alappuzha,Kerala,India,Arcyria,Arcyria,,Protozoa
2020-11-04,2020-11-04 10:12:42 UTC,Ketan Malanakiya,2020-12-08 14:02:02 UTC,2020-12-11 04:52:30 UTC,https://static.inaturalist.org/photos/106834076/medium.jpeg,,2,0,Department of Life - Sciences,21.7559050334,72.1291987225,Bhavnagar,Gujarat,India,chocolate tube slime,Stemonitis splendens,chocolate tube slime,Protozoa
2020-12-07,2020-12-07 04:19:46 UTC,Darshak Bhil,2020-12-09 07:39:36 UTC,2022-05-17 14:59:27 UTC,https://static.inaturalist.org/photos/106897380/medium.jpeg,,1,0,"Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7560386658,72.1291656494,Bhavnagar,Gujarat,India,slime molds,Echinostelium,,Protozoa
2020-07-17,2020-07-17 09:46:05 UTC,Ketan Malanakiya,2020-12-11 12:38:47 UTC,2020-12-11 12:39:05 UTC,https://static.inaturalist.org/photos/107064649/medium.jpeg,,0,0,"Gujarat 364280, India",21.1886329444,71.6223983611,Bhavnagar,Gujarat,India,Tubifera,Tubifera,,Protozoa
2020-12-19,2020-12-19 04:01:50 UTC,Darshak Bhil,2020-12-27 03:55:19 UTC,2020-12-27 03:55:53 UTC,https://static.inaturalist.org/photos/108365058/medium.jpeg,,0,0,"Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7560253143,72.1291732788,Bhavnagar,Gujarat,India,Enerthenema papillatum,Enerthenema papillatum,,Protozoa
2020-12-26,2020-12-26 04:38:02 UTC,Navaneeth Sini George,2020-12-28 00:12:04 UTC,2023-07-08 01:38:51 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/108449482/medium.jpeg,,0,0,"Chettiakulam, Kumarakom, Kerala 686563, India",9.5760194444,76.4374305556,Kottayam,Kerala,India,slime molds,Mycetozoa,slime molds,Protozoa
2020-12-23,2020-12-23 06:27:37 UTC,Darshak Bhil,2020-12-31 14:08:00 UTC,2021-01-16 06:12:11 UTC,https://static.inaturalist.org/photos/108800452/medium.jpeg,,1,0,"Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7559070587,72.1289978027,Bhavnagar,Gujarat,India,White Carnival Candy Slime Mold,Arcyria cinerea,White Carnival Candy Slime Mold,Protozoa
2020-12-19,2020-12-19 04:14:45 UTC,Darshak Bhil,2020-12-31 14:25:54 UTC,2021-02-13 06:28:56 UTC,https://static.inaturalist.org/photos/108801462/medium.jpeg,,1,0,"Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7560157776,72.1291656494,Bhavnagar,Gujarat,India,Paradiacheopsis,Paradiacheopsis,,Protozoa
2020-12-31,2020-12-31 05:17:00 UTC,Abhishek Jamalabad,2021-01-09 13:11:04 UTC,2024-08-14 18:41:26 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/109618251/medium.jpg,,0,0,"Raigad, Maharashtra, India",18.8913023819,73.1156560249,Raigarh,Maharashtra,India,Pretzel slime mold,Hemitrichia serpula,Pretzel slime mold,Protozoa
2021-01-29,2021-01-29 05:46:00 UTC,Prajwal J Ullal,2021-01-29 17:20:59 UTC,2021-01-29 17:20:59 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/111430481/medium.jpg,,0,0,"Thane West, Thane, Maharashtra, India",19.2329130383,72.9974237231,Greater Bombay,Maharashtra,India,False Puffball,Reticularia lycoperdon,False Puffball,Protozoa
2020-12-13,2020-12-13 03:32:31 UTC,Darshak Bhil,2021-02-24 10:55:35 UTC,2021-02-28 03:32:17 UTC,https://static.inaturalist.org/photos/113864377/medium.jpeg,,1,0,"8/H. Shakti society Chitranjan chok Bh. Siddhgiri flat, Vidhyanagar, Bhavnagar, Gujarat 364002, India",21.7589225769,72.1388778687,Bhavnagar,Gujarat,India,Lycogala,Lycogala,,Protozoa
2021-03-05,2021-03-05 14:53:00 UTC,OnePlanet,2021-03-06 07:39:36 UTC,2023-10-22 09:10:02 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/114899642/medium.jpeg,,0,0,"Kerala 671314, India",12.2841660919,75.1602206379,Kasaragod,Kerala,India,Dog Sick Slime Mould,Didymium spongiosum,Dog Sick Slime Mould,Protozoa
2021-03-28,2021-03-28 06:23:00 UTC,Firos AK,2021-03-28 15:57:33 UTC,2021-03-28 15:57:33 UTC,https://inaturalist-open-data.s3.amazonaws.com/photos/117805290/medium.jpeg,,0,0,Doresani Palya Forest Campus,12.894923989,77.5917272999,Bangalore,Karnataka,India,Stemonitis splendens,Stemonitis splendens,chocolate tube slime,Protozoa
